BioProject,Run,Assay.Type,AvgSpotLen,Bases,BioSample,Bytes,Center.Name,Consent,DATASTORE.filetype,DATASTORE.provider,DATASTORE.region,Experiment,Instrument,Library.Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample.Name,SRA.Study,BioSampleModel,Tissue,Isolate,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Isolation_source,sex,Age,Biomaterial_provider,Strain,breeding_system,MiSeq_run_library,dev_stage,PHENOTYPE,collected_by,Breed,Host,Specimen_voucher,accession..run.,object_status..run.,study..run.,OLD_geo_loc_name,Cultivar,Ecotype,Investigation_type,BIOME,Depth,elev,env_package,feature,Label,lat_lon,material,project_name,lat,lon,counts
PRJNA212126,SRR7518397,WGS,199,6928634019,SAMN02252729,4181684862,INDIANA UNIVERSITY,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX4388401,Illumina Genome Analyzer II,TRO-3,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,TRO-3,SRP153356,,,TRO-3,2001,USA,North America,USA: Maine,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212127,SRR7518398,WGS,199,6857637764,SAMN02252730,4039815961,INDIANA UNIVERSITY,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX4388402,Illumina Genome Analyzer II,SMI-1,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,SMI-1,SRP027505,,,SMI-1,2001,Canada,North America,Canada: Quebec,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212128,SRR7518395,WGS,199,6884478207,SAMN02252729,3949723352,INDIANA UNIVERSITY,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX4388399,Illumina Genome Analyzer II,LIS-3,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,TRO-3,SRP153354,,,TRO-3,2001,USA,North America,USA: Maine,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212129,SRR7518396,WGS,199,6817801862,SAMN02252732,4073486148,INDIANA UNIVERSITY,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX4388400,Illumina Genome Analyzer II,5W2,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,5W-2,SRP153355,,,5W-2,2005,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212130,SRR7516868,WGS,199,6982769618,SAMN02252733,3982519119,INDIANA UNIVERSITY,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX4386874,Illumina Genome Analyzer II,LYT-1,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,LYT-1,SRP153257,,,LYT-1,2004,USA,North America,USA: Michigan,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212131,SRR7516827,WGS,122,2513561852,SAMN02252734,2592312106,INDIANA UNIVERSITY,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX4386833,Illumina Genome Analyzer II,GOS-1,PAIRED,RANDOM,GENOMIC,soil metagenome,ILLUMINA,2018-07-21T00:00:00Z,Forestfungi1,SRP153246,"MIMS.me,MIGS/MIMS/MIMARKS.soil",,,8-Mar,France,Europe,France: Burgundy,,,,,,,,,,,,,,,,,,,,metagenome,soil,top soil,640m,MIGS/MIMS/MIMARKS.soil,Tree species preference,fungi,character0,DNA,Breuil fungal diversity,NA,NA,4
PRJNA212131,SRR7519633,WGS,122,2526917070,SAMN02252734,2606122351,INDIANA UNIVERSITY,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX4386833,Illumina Genome Analyzer II,GOS-1,PAIRED,RANDOM,GENOMIC,soil metagenome,ILLUMINA,2018-07-21T00:00:00Z,Forestfungi1,SRP153246,"MIMS.me,MIGS/MIMS/MIMARKS.soil",,,8-Mar,France,Europe,France: Burgundy,,,,,,,,,,,,,,,,,,,,metagenome,soil,top soil,640m,MIGS/MIMS/MIMARKS.soil,Tree species preference,fungi,character0,DNA,Breuil fungal diversity,NA,NA,4
PRJNA212131,SRR7519634,WGS,118,2005337548,SAMN02252734,1406176884,INDIANA UNIVERSITY,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX4386833,Illumina Genome Analyzer II,GOS-1,PAIRED,RANDOM,GENOMIC,soil metagenome,ILLUMINA,2018-07-13T00:00:00Z,Forestfungi1,SRP153246,"MIMS.me,MIGS/MIMS/MIMARKS.soil",,,8-Mar,France,Europe,France: Burgundy,,,,,,,,,,,,,,,,,,,,metagenome,soil,top soil,640m,MIGS/MIMS/MIMARKS.soil,Tree species preference,fungi,character0,DNA,Breuil fungal diversity,NA,NA,4
PRJNA212131,SRR7519635,WGS,118,1998960002,SAMN02252734,1377873464,INDIANA UNIVERSITY,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX4386833,Illumina Genome Analyzer II,GOS-1,PAIRED,RANDOM,GENOMIC,soil metagenome,ILLUMINA,2018-07-13T00:00:00Z,Forestfungi1,SRP153246,"MIMS.me,MIGS/MIMS/MIMARKS.soil",,,8-Mar,France,Europe,France: Burgundy,,,,,,,,,,,,,,,,,,,,metagenome,soil,top soil,640m,MIGS/MIMS/MIMARKS.soil,Tree species preference,fungi,character0,DNA,Breuil fungal diversity,NA,NA,4
PRJNA212132,SRR7516826,WGS,199,6931614913,SAMN02252735,4057677860,INDIANA UNIVERSITY,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX4386832,Illumina Genome Analyzer II,JOL-2,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,GOS-1,SRP153244,,,GOS-1,2003,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
