BioProject,Run,AvgSpotLen,Bases,BioSample,Bytes,Center.Name,Experiment,Library.Name,Organism,Platform,ReleaseDate,Sample.Name,SRA.Study,Isolate,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Isolation_source,sex,Age,Biomaterial_provider,Strain,breeding_system,MiSeq_run_library,dev_stage,PHENOTYPE,collected_by,Breed,Host,Specimen_voucher,accession..run.,object_status..run.,study..run.,OLD_geo_loc_name,Cultivar,Ecotype,Investigation_type,BIOME,Depth,elev,env_package,feature,Label,lat_lon,material,project_name,lat,lon,counts
PRJNA212126,SRR7518397,199,6928634019,SAMN02252729,4181684862,INDIANA UNIVERSITY,SRX4388401,TRO-3,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,TRO-3,SRP153356,TRO-3,2001,USA,North America,USA: Maine,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212127,SRR7518398,199,6857637764,SAMN02252730,4039815961,INDIANA UNIVERSITY,SRX4388402,SMI-1,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,SMI-1,SRP027505,SMI-1,2001,Canada,North America,Canada: Quebec,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212128,SRR7518395,199,6884478207,SAMN02252729,3949723352,INDIANA UNIVERSITY,SRX4388399,LIS-3,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,TRO-3,SRP153354,TRO-3,2001,USA,North America,USA: Maine,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212129,SRR7518396,199,6817801862,SAMN02252732,4073486148,INDIANA UNIVERSITY,SRX4388400,5W2,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,5W-2,SRP153355,5W-2,2005,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212130,SRR7516868,199,6982769618,SAMN02252733,3982519119,INDIANA UNIVERSITY,SRX4386874,LYT-1,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,LYT-1,SRP153257,LYT-1,2004,USA,North America,USA: Michigan,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212131,SRR7516827,122,2513561852,SAMN02252734,2592312106,INDIANA UNIVERSITY,SRX4386833,GOS-1,soil metagenome,ILLUMINA,2018-07-21T00:00:00Z,Forestfungi1,SRP153246,,Mar-08,France,Europe,France: Burgundy,,,,,,,,,,,,,,,,,,,,metagenome,soil,top soil,640m,MIGS/MIMS/MIMARKS.soil,Tree species preference,fungi,character0,DNA,Breuil fungal diversity,NA,NA,4
PRJNA212131,SRR7519633,122,2526917070,SAMN02252734,2606122351,INDIANA UNIVERSITY,SRX4386833,GOS-1,soil metagenome,ILLUMINA,2018-07-21T00:00:00Z,Forestfungi1,SRP153246,,Mar-08,France,Europe,France: Burgundy,,,,,,,,,,,,,,,,,,,,metagenome,soil,top soil,640m,MIGS/MIMS/MIMARKS.soil,Tree species preference,fungi,character0,DNA,Breuil fungal diversity,NA,NA,4
PRJNA212131,SRR7519634,118,2005337548,SAMN02252734,1406176884,INDIANA UNIVERSITY,SRX4386833,GOS-1,soil metagenome,ILLUMINA,2018-07-13T00:00:00Z,Forestfungi1,SRP153246,,Mar-08,France,Europe,France: Burgundy,,,,,,,,,,,,,,,,,,,,metagenome,soil,top soil,640m,MIGS/MIMS/MIMARKS.soil,Tree species preference,fungi,character0,DNA,Breuil fungal diversity,NA,NA,4
PRJNA212131,SRR7519635,118,1998960002,SAMN02252734,1377873464,INDIANA UNIVERSITY,SRX4386833,GOS-1,soil metagenome,ILLUMINA,2018-07-13T00:00:00Z,Forestfungi1,SRP153246,,Mar-08,France,Europe,France: Burgundy,,,,,,,,,,,,,,,,,,,,metagenome,soil,top soil,640m,MIGS/MIMS/MIMARKS.soil,Tree species preference,fungi,character0,DNA,Breuil fungal diversity,NA,NA,4
PRJNA212132,SRR7516826,199,6931614913,SAMN02252735,4057677860,INDIANA UNIVERSITY,SRX4386832,JOL-2,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,GOS-1,SRP153244,GOS-1,2003,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
